Institution,main_office,branch_name,branch_number,established_date,street_address,City,County,State,Zipcode,2010_Deposits,2011_Deposits,2012_Deposits,2013_Deposits,2014_Deposits,2015_Deposits,2016_Deposits,row_num
JPM Chase Bank,0,12 Mile-Country Club Drive Branch,2837,1991-07-19,38601 West 12 Mile Road,Farmington Hills,Oakland,MI,48331,87316,96703,107747,127349,142579,165378,168302,1
JPM Chase Bank,0,135th Street & Fifth Avenue Branch,784,1962-01-06,2218 5th Avenue,New York City,New York,NY,10037,52478,54744,57225,59578,59351,63149,67947,1
JPM Chase Bank,0,24 Mile-Shelby Road Branch,2667,1964-12-18,4665 24 Mile Road,Shelby Township,Macomb,MI,48316,96681,99047,103851,109887,114968,117120,132564,1
JPM Chase Bank,0,27th and Loomis Branch,2880,1992-02-14,3605 South 27th Street,Milwaukee,Milwaukee,WI,53221,41386,44935,53885,58062,62966,68055,72966,1
JPM Chase Bank,0,2nd and Capitol Branch,2857,1920-08-20,210 West Capitol Drive,Milwaukee,Milwaukee,WI,53212,37391,39120,41807,47657,48748,50970,56969,1
JPM Chase Bank,0,6 Mile/Newburgh Branch,2742,1990-09-05,37458 Six Mile Road,Livonia,Wayne,MI,48152,150144,150486,162047,181892,189909,212460,223739,1
JPM Chase Bank,0,73rd Street & Broadway Branch,803,1800-01-01,2099 Broadway,New York City,New York,NY,10023,414374,436965,508815,572092,559936,574801,624351,1
JPM Chase Bank,0,76th & Morgan Branch,2879,1991-02-14,7606 West Morgan Avenue,Milwaukee,Milwaukee,WI,53220,44165,51546,51797,58531,66405,71243,86112,1
JPM Chase Bank,0,79th/Cicero Branch,1875,1921-01-01,4730 West 79th Street,Chicago,Cook,IL,60652,130236,134533,144332,169966,211655,224972,244428,1
JPM Chase Bank,0,Abbeville Branch,2178,1991-05-10,500 Charity Street,Abbeville,Vermilion,LA,70510,15076,15748,15788,16355,19757,21322,22068,1
JPM Chase Bank,0,Abilene Branch,2229,1964-02-01,3444 North 1st Street,Abilene,Taylor,TX,79603,96343,99336,98821,110139,106101,82168,79130,1
